month,mpp,not_mpp,total
Jan-17,0,140,140
Feb-17,0,82,82
Mar-17,0,75,75
Apr-17,0,70,70
May-17,0,136,136
Jun-17,0,106,106
Jul-17,0,101,101
Aug-17,0,113,113
Sep-17,0,94,94
Oct-17,0,68,68
Nov-17,0,110,110
Dec-17,0,85,85
Jan-18,0,101,101
Feb-18,0,84,84
Mar-18,0,88,88
Apr-18,0,151,151
May-18,0,161,161
Jun-18,0,76,76
Jul-18,0,112,112
Aug-18,0,193,193
Sep-18,0,248,248
Oct-18,0,471,471
Nov-18,0,228,228
Dec-18,0,423,423
Jan-19,0,198,198
Feb-19,0,101,101
Mar-19,1,52,53
Apr-19,360,129,489
May-19,890,135,1025
Jun-19,659,98,757
Jul-19,2977,83,3060
Aug-19,73,93,166
