month,mpp,not_mpp,total
Jan-17,0,405,405
Feb-17,0,465,465
Mar-17,0,668,668
Apr-17,0,725,725
May-17,0,606,606
Jun-17,0,524,524
Jul-17,0,593,593
Aug-17,0,804,804
Sep-17,0,548,548
Oct-17,0,472,472
Nov-17,0,537,537
Dec-17,0,472,472
Jan-18,0,484,484
Feb-18,0,574,574
Mar-18,0,920,920
Apr-18,0,461,461
May-18,0,785,785
Jun-18,0,403,403
Jul-18,0,503,503
Aug-18,0,918,918
Sep-18,0,1082,1082
Oct-18,0,380,380
Nov-18,0,353,353
Dec-18,0,518,518
Jan-19,0,484,484
Feb-19,0,687,687
Mar-19,0,785,785
Apr-19,0,1425,1425
May-19,0,1052,1052
Jun-19,0,517,517
Jul-19,924,712,1636
Aug-19,1316,1300,2616
