month,mpp,not_mpp,total
Jan-17,0,215,215
Feb-17,0,194,194
Mar-17,0,243,243
Apr-17,0,187,187
May-17,0,144,144
Jun-17,0,185,185
Jul-17,0,88,88
Aug-17,0,101,101
Sep-17,0,98,98
Oct-17,0,106,106
Nov-17,0,150,150
Dec-17,0,129,129
Jan-18,0,215,215
Feb-18,0,166,166
Mar-18,0,222,222
Apr-18,0,233,233
May-18,0,160,160
Jun-18,0,179,179
Jul-18,6,207,213
Aug-18,0,320,320
Sep-18,0,139,139
Oct-18,0,172,172
Nov-18,0,237,237
Dec-18,0,208,208
Jan-19,0,240,240
Feb-19,69,263,332
Mar-19,123,368,491
Apr-19,358,344,702
May-19,2034,296,2330
Jun-19,783,134,917
Jul-19,845,167,1012
Aug-19,1568,91,1659
