Index,Recipient Name,State/Territory,Type,Interim Report Status,Interim Report,Recovery Plan Status,Recovery Plan
 ,"County Of Ventura, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ell1/HV3pS5E3I2Dnnax8fxWdiEW31mFr5BeNMy2nTGsygfo,Submitted,https://home.treasury.gov/system/files/136/Ventura-County_2021-Recovery-Plan_SLT-4762.pdf
 ,"Guilford County, North Carolina",North Carolina,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ell2/JBX0RjN1jVl1sH3HTGrZ1OF3Jb.vMoMzpOMCND_2Chk,Submitted,https://home.treasury.gov/system/files/136/Guilford-County_2021-Recovery-Plan_SLT-3830.pdf
 ,District Of Columbia,District of Columbia,State/DC,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ell3/_jqheA6MTS0Z4Rywht6QdJp_AUkC8V0T2OcvobQJdyw,Submitted,https://home.treasury.gov/system/files/136/District-of-Columbia_2021-Recovery-Plan_SLT-0558.pdf
 ,State of New York,New York,State/DC,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ell4/y5vYThZ8Zwa2SGEfReiJdZ6ZlBupAv_FcWDh_LAKF9M,Submitted,https://home.treasury.gov/system/files/136/New-York_2021-Recovery-Plan_SLT-1201.pdf
 ,State of Oregon,Oregon,State/DC,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellA/sRd2O.TFImpOQ5e3_g3cjGutwSUi2eAp_n30OwLERy0,Submitted,https://home.treasury.gov/system/files/136/Oregon_2021-Recovery-Plan_SLT-8455.pdf
 ,State of Wisconsin,Wisconsin,State/DC,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellB/6HjVHUvuDP19Wy5Ix8fkWy5yptfjh9Pr4yw4E0nriRE,Submitted,https://home.treasury.gov/system/files/136/Wisconsin_2021-Recovery-Plan_SLT-0534.pdf
 ,"Allegheny County, Pennsylvania",Pennsylvania,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellC/RNLaGtkbn358P6gYEgaeHPzmg0PQJapCU3G_SrciHPc,Pending,
 ,"Anne Arundel County, Maryland",Maryland,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellU/ZRu2ovYzCeDxPgdX6H3jz4WDa_QBqtnn1CwlRYbloGY,Submitted,https://home.treasury.gov/system/files/136/Anne-Arundel-County_2021-Recovery-Plan_SLT-0698.pdf
 ,"Arapahoe County, Colorado",Colorado,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellW/ovv_ygDvCqV5OadPorcJykRXBcMfJhct71v6Vl4A.dQ,Submitted,https://home.treasury.gov/system/files/136/Arapahoe-County_2021-Recovery-Plan_SLT-0680.pdf
 ,"Baltimore County, Maryland",Maryland,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellX/BmV4DawGgPAQDmoqMRiBSlKPvqywj4f7zU6wUeYrieA,Submitted,https://home.treasury.gov/system/files/136/Baltimore-County_2021-Recovery-Plan_SLT-2171.pdf
 ,"Bernalillo County,  New Mexico",New Mexico,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellY/E7tXXugk_mdV1cLNaHMmbOx5JM_kb0ehCqdMwFZ8rfo,Submitted,https://home.treasury.gov/system/files/136/Bernalillo-County_2021-Recovery-Plan_SLT-0552.pdf
 ,"Bexar County, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellZ/0y6ehqlHu29icUSD8cqZCTNpdakhO34tT7e9AmtrXvY,Submitted,https://home.treasury.gov/system/files/136/Bexar-County_2021-Recovery-Plan_SLT-1167.pdf
 ,"Palm Beach County, Florida",Florida,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ella/dzbr.UhBPkCndANfqBPSsEQvXxtQBcOBWmy_obhYMfY,Submitted,https://home.treasury.gov/system/files/136/Palm-Beach-County_2021-Recovery-Plan_SLT-1315.pdf
 ,"Brevard County, Florida",Florida,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellb/dQed9MXXDza8OdxXolrD6V2918iwqntHuxTpFKdUStk,Submitted,https://home.treasury.gov/system/files/136/Brevard-County_2021-Recovery-Plan_SLT-2179.pdf
 ,"City And County Of San Francisco, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellc/gKEMx7WVnYw6_ki1Wb3HJ9GdO4K20ye4OB37_Mf1xsw,Submitted,https://home.treasury.gov/system/files/136/San-Francisco-County_2021-Recovery-Plan_SLT-5348.pdf
 ,"City Of Albuquerque, New Mexico",New Mexico,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001ellV/0H23xNhbtaCGkWCXF4ZGnu6QFTPlIOsiCLF5tu1p.CI,Submitted,https://home.treasury.gov/system/files/136/Albuquerque_2021-Recovery-Plan-a_SLT-0528.pdf
 ,"City Of Atlanta, Georgia",Georgia,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eymW/xmVD83BHBVMNlBi_VhPfRUtV4_Fdxe7R7c0FZtjTH9E,Submitted,https://home.treasury.gov/system/files/136/Atlanta_2021-Recovery-Plan_SLT-0584.pdf
 ,"City Of Austin, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001elrg/qne8OXBv1fyWvCnV5dKTDrRf0dd9jg0RsnOG.bB.TSw,Submitted,https://home.treasury.gov/system/files/136/Austin_2021-Recovery-Plan_SLT-0666.pdf
 ,"City Of Baltimore, Maryland",Maryland,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001elrh/DE8cuINnFik7jDG68k7kIesM_SHzm.xBPF5QXY4b17M,Submitted,https://home.treasury.gov/system/files/136/Baltimore_2021-Recovery-Plan_SLT-2962.pdf
 ,"City Of Boston, Massachusetts",Massachusetts,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001elri/d37aSPh79Ivpqg7YFEbm14WfEN0Y3hFlrUOv8UPW33U,Submitted,https://home.treasury.gov/system/files/136/Boston_2021-Recovery-Plan_SLT-0542.pdf
 ,"City Of Charlotte, North Carolina",North Carolina,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001elrj/nbMjSboyWTS4Uh380M72mrqfK35T896WBG300tbS0uI,Submitted,https://home.treasury.gov/system/files/136/Charlotte_2021-Recovery-Plan_SLT-0621.pdf
 ,"City Of Chicago, Illinois",Illinois,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001elrk/SJhtvERdsPSyeQYCE9ew7d9bYPCcp574ELOpFIh_0Lw,Submitted,https://home.treasury.gov/system/files/136/Chicago_2021-Recovery-Plan_SLT-1222.pdf
 ,"City Of Columbus,  Ohio",Ohio,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001elrl/HgfjkDXpcmMWNoM0M1JKyq7hHT3QEv.6_rENCUjxMsU,Submitted,https://home.treasury.gov/system/files/136/Columbus_2021-Recovery-Plan_SLT-0640.pdf
 ,"City Of Dallas, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eymX/hubBpHciO0x8wdEtK8l2SboGe5ppzYZLG0kw_EgimGU,Submitted,https://home.treasury.gov/system/files/136/Dallas_2021-Recovery-Plan_SLT-1204.pdf
 ,"City Of El Paso, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001em26/_WC7bfG1bkqiZfoRQfkV2ZO0ZD62Zom7Gnsr5OPla3k,Submitted,https://home.treasury.gov/system/files/136/El-Paso_2021-Recovery-Plan_SLT-1278.pdf
 ,"Fort Worth City, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001em27/IFM4ecy1IzGipKiCl9P31xhb9LHicuAZY2z2v96sK7k,Pending,
 ,"City Of Houston, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001em28/t5YaTGDCKwCfyBPgERfXxekpatUtjV7pHcPck8effPc,Submitted,https://home.treasury.gov/system/files/136/Houston_2021-Recovery-Plan_SLT-1637.pdf
 ,"City Of Indianapolis, Indiana",Indiana,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001em29/aJDEmW5s2AMOupuaRgK0rTCfYSO_sLIzBxw0LLJHpXg,Submitted,"https://home.treasury.govCity%20Of%20Indianapolis,%20Indiana%20Recovery%20Plan"
 ,"City Of Las Vegas, Nevada",Nevada,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001em2A/pe5YrvkklU5Y.JVvqm81BiI6rk6w4iG3A4zwZURs04o,Submitted,https://home.treasury.gov/system/files/136/Las-Vegas_2021-Recovery-Plan_SLT-1105.pdf
 ,"City Of Memphis, Tennessee",Tennessee,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001em2B/Y4hEbIo6Fxyg8cWOzpqEvZizrf5Z7hGojuJIjyUTTYM,Not Avalaible,
 ,"City Of Mesa, Arizona, Arizona",Arizona,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001em2C/ghAz9DdKeKUqm8SUzVIKj4TfGOdaxW_Ukb.1Xg4j.pk,Submitted,https://home.treasury.gov/system/files/136/Mesa_2021-Recovery-Plan_SLT-1240.pdf
 ,"City Of Milwaukee, Wisconsin",Wisconsin,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001em7c/3QdDTydYXmo_KCP25Y9rCaC_8Qa1YDTqocSGn_sm.Do,Submitted,https://home.treasury.gov/system/files/136/Milwaukee_2021-Recovery-Plan_SLT-0565.pdf
 ,"City Of New York, New York",New York,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001em7k/WPIfW0AaTXlVCOUnT_bG05NWr.fN8vbXoiRmegpBtHs,Submitted,https://home.treasury.gov/system/files/136/New-York_2021-Recovery-Plan_SLT-1201.pdf
 ,"City Of Oklahoma City, Oklahoma",Oklahoma,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001em7l/WH4VMrg.1A0oUJvGVDT2xHtCREzbUI97wUTdRNl.Dkk,Submitted,https://home.treasury.gov/system/files/136/Oklahoma-City_2021-Recovery-Plan_SLT-0594.pdf
 ,"City Of Philadelphia, Pennsylvania",Pennsylvania,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001eyn1/bR3Etd46eYtsrX8pveZYvP_KQvgUl6civVrTgfNihBM,Submitted,https://home.treasury.gov/system/files/136/Philadelphia_2021-Recovery-Plan_SLT-0877.pdf
 ,"City Of Phoenix, Arizona",Arizona,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCm/4qINX.EhLEVkQsf5FZBoX9g.b.WA1vFQ5LudWSDgTVA,Submitted,https://home.treasury.gov/system/files/136/Phoenix_2021-Recovery-Plan_SLT-0576.pdf
 ,"City Of Portland Oregon, Oregon",Oregon,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCn/FAlYJIkDPUA10g00rnezpdufR55DL2SkCJxZFvYEvo4,Submitted,https://home.treasury.gov/system/files/136/Portland_2021-Recovery-Plan_SLT-0967.pdf
 ,"City Of Sacramento, California",California,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCo/Hqey9DFj0gyNaJcG1eS7HnLeBXmeJujn3V2Xukwts0o,Submitted,https://home.treasury.gov/system/files/136/Sacramento-County_2021-Recovery-Plan_SLT-1548.pdf
 ,"City Of San Antonio, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCp/OJxY7jlBAuTDNAuf85sEK_W3ioUBnuBycplKMQE5sx8,Submitted,https://home.treasury.gov/system/files/136/San-Antonio_2021-Recovery-Plan_SLT-0591.pdf
 ,"Seattle City, Washington",Washington,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCq/wx_OfC.R8P9QxdDHejNr0eF_kcuyqDoSiKthvwrlHiI,Submitted,https://home.treasury.gov/system/files/136/Seattle_2021-Recovery-Plan_SLT-3134.pdf
 ,"City Of Tucson, Arizona",Arizona,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCr/CcABdqPqauyYU1Rj_7RRjumwdHneH1ayyOOmQMyOhz4,Submitted,https://home.treasury.gov/system/files/136/Tucson_2021-Recovery-Plan_SLT-1109.pdf
 ,"Clark County, Nevada",Nevada,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCs/9Q18NN300OHoO66bbU5tXRZMhrEcJGy8pypL0hRavTA,Submitted,https://home.treasury.gov/system/files/136/Clark-County_2021-Recovery-Plan_SLT-3386.pdf
 ,"Collin County, Texas",Texas,Local Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCt/jqS01vb0W0_p_fbFapUSfzapYuVCBckD4DS.7TXgpoA,Submitted,https://home.treasury.gov/system/files/136/Collin-County_2021-Recovery-Plan_SLT-0561.pdf
 ,Commonwealth Of Kentucky,Kentucky,State/DC,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCu/SrohDroSyOFf1hfgeWyrKZEgaX0WVIAJnziy1A9sBBg,Submitted,https://home.treasury.gov/system/files/136/Kentucky_2021-Recovery-Plan_SLT-1716.pdf
 ,Commonwealth Of Pennsylvania,Pennsylvania,State/DC,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCv/p3hsF6WuGR7iStn17kxnpxGCIx2IUhnYzSamGArZ5nQ,Submitted,https://home.treasury.gov/system/files/136/Pennsylvania_2021-Recovery-Plan_SLT-3730.pdf
 ,Commonwealth Of The Northern Mariana Islands,Northern Mariana Islands,Territorial Government,Submitted,https://apps-treas.my.salesforce.com/sfc/p/t0000000TZbC/a/t0000001emCz/RHt.miQvqx76hMSJqD2Z4mVyHSE5OMRxFXOXNuvqZCQ,Submitted,https://home.treasury.gov/system/files/136/Mariana-Islands_2021-Recovery-Plan_SLT-1304.pdf
