month,mpp,not_mpp,total
Jan-17,0,290,290
Feb-17,0,227,227
Mar-17,0,273,273
Apr-17,0,221,221
May-17,0,114,114
Jun-17,0,75,75
Jul-17,0,90,90
Aug-17,0,143,143
Sep-17,0,172,172
Oct-17,0,247,247
Nov-17,0,287,287
Dec-17,0,312,312
Jan-18,0,369,369
Feb-18,0,576,576
Mar-18,0,463,463
Apr-18,0,363,363
May-18,0,341,341
Jun-18,0,384,384
Jul-18,0,389,389
Aug-18,0,802,802
Sep-18,0,655,655
Oct-18,0,544,544
Nov-18,0,534,534
Dec-18,0,536,536
Jan-19,0,573,573
Feb-19,0,818,818
Mar-19,0,655,655
Apr-19,0,466,466
May-19,0,659,659
Jun-19,0,402,402
Jul-19,503,609,1112
Aug-19,3376,793,4169
